project_id,project_name,description,created_at,is_active
proj_c9fdaf332618,社区敬老服务,关爱老人,2026-06-13T14:12:55.289492,true
proj_53366ac9e46f,社区环境整治,测试项目,2026-06-13T16:13:24.066132,true
proj_0de72695acac,测试项目1,,2026-06-13T16:59:23.341555,true
proj_1caffdbea663,旧项目,,2026-06-13T16:59:23.543313,true
proj_230cb2a8fe97,新项目（无规则）,,2026-06-13T16:59:23.544137,true
proj_f877f6d0531d,测试项目3,,2026-06-13T16:59:23.697474,true
proj_e5d24a00b31c,测试项目4,,2026-06-13T16:59:23.943263,true
proj_70d35804ef12,测试项目1,,2026-06-13T17:36:35.851676,true
proj_c13114469639,旧项目,,2026-06-13T17:36:35.993261,true
proj_4a6dc72f38ea,新项目（无规则）,,2026-06-13T17:36:35.994249,true
proj_aee55aa92f2c,测试项目3,,2026-06-13T17:36:36.151569,true
proj_8ae40998e936,测试项目4,,2026-06-13T17:36:36.417080,true
proj_2bf9e13be184,对账单测试项目,,2026-06-13T17:39:03.168611,true
proj_789ca235b487,对账单测试项目,,2026-06-13T17:41:24.679892,true
proj_ad1ce1521310,申诉对账测试项目,,2026-06-13T17:41:25.004772,true
proj_ca6bc2958d30,驳回申诉对账测试,,2026-06-13T17:41:25.243523,true
proj_0d5ec3e86fc6,多人对账测试项目,,2026-06-13T17:41:25.424353,true
proj_1f9927d821ae,未核算对账测试,,2026-06-13T17:41:25.676427,true
proj_d32a6785a560,对账单测试项目,,2026-06-13T17:41:57.459930,true
proj_5bb0929238b8,申诉对账测试项目,,2026-06-13T17:41:57.843789,true
proj_16cde6499fb5,驳回申诉对账测试,,2026-06-13T17:41:58.126225,true
proj_7d9ae12ff085,多人对账测试项目,,2026-06-13T17:41:58.355123,true
proj_ebd7d2e0ba28,未核算对账测试,,2026-06-13T17:41:58.665447,true
proj_97a1a0e964ac,多次申诉测试,,2026-06-13T18:19:25.304748,true
proj_bbc9a2fecdad,核算类型测试,,2026-06-13T18:19:25.720973,true
