log_id,settlement_id,month,participant_id,operation_type,operator,operated_at,description,details
log_5b6a519e2643,setl_f1aecb9dad49,2024-06,P001,差异标记,复核员老李,2026-06-13T21:03:57.016197,因记录rec_9b2a24e94f48复核操作，系统自动标记为有差异待处理,
log_0951335b8b7e,setl_753eb51b2adc,2025-01,Xcfa469,差异标记,复核员,2026-06-13T21:03:48.880851,因记录rec_8cad48e34cb5复核操作，系统自动标记为有差异待处理,
log_bac4304b5b21,setl_92665640db38,2025-06,D332ec4,差异标记,管理员,2026-06-13T21:03:15.813359,因记录rec_f56e1fb25a17作废处理，系统自动标记为有差异待处理,
log_fff7832a2c17,setl_a127aebef6e9,2025-05,Dc2bbd7,确认覆盖,核算主管,2026-06-13T21:03:15.564194,确认覆盖结算结果，最终积分：30.0，版本升至v4,第3次确认
log_0326ac91ba9c,setl_a127aebef6e9,2025-05,Dc2bbd7,发起重算,核算员,2026-06-13T21:03:15.515160,发起重新核算，原最终积分30.0→新最终积分30.0,第3次重算
log_49b7f4d4ef73,setl_a127aebef6e9,2025-05,Dc2bbd7,确认覆盖,核算主管,2026-06-13T21:03:15.465316,确认覆盖结算结果，最终积分：30.0，版本升至v3,第2次确认
log_54e178bc59df,setl_a127aebef6e9,2025-05,Dc2bbd7,发起重算,核算员,2026-06-13T21:03:15.410617,发起重新核算，原最终积分30.0→新最终积分30.0,第2次重算
log_f2ffc1aae596,setl_a127aebef6e9,2025-05,Dc2bbd7,确认覆盖,核算主管,2026-06-13T21:03:15.363058,确认覆盖结算结果，最终积分：30.0，版本升至v2,第1次确认
log_307f1e7a6992,setl_a127aebef6e9,2025-05,Dc2bbd7,发起重算,核算员,2026-06-13T21:03:15.334289,发起重新核算，原最终积分30.0→新最终积分30.0,第1次重算
log_93ba4769c995,setl_3d17139acc0d,2025-04,D50657d,保留原结果,核算主管E,2026-06-13T21:03:14.993700,确认保留原结算结果，最终积分维持：84.0,作废的记录积分很小，不影响整体结算
log_d979e87780b8,setl_3d17139acc0d,2025-04,D50657d,差异标记,管理员,2026-06-13T21:03:14.898920,因记录rec_aa099e30ebb6作废处理，系统自动标记为有差异待处理,
log_c84bd06d4cf2,setl_3d17139acc0d,2025-04,D50657d,确认覆盖,核算主管C,2026-06-13T21:03:14.799848,确认覆盖结算结果，最终积分：84.0，版本升至v2,经审核确认使用重算结果
log_287c430c3664,setl_3d17139acc0d,2025-04,D50657d,发起重算,核算员B,2026-06-13T21:03:14.749444,发起重新核算，原最终积分64.0→新最终积分84.0,申诉更正导致积分变化
log_4173e837f648,setl_3d17139acc0d,2025-04,D50657d,差异标记,管理员,2026-06-13T21:03:14.637370,因记录rec_00c4aaf581cd申诉通过更正，系统自动标记为有差异待处理,
log_5ab8bfd8a5ea,setl_d0562de37920,2025-01,Db79aa5,确认覆盖,核算主管,2026-06-13T21:03:13.613833,确认覆盖结算结果，最终积分：69.0，版本升至v2,确认重算
log_1d6abf331d99,setl_d0562de37920,2025-01,Db79aa5,发起重算,核算员,2026-06-13T21:03:13.576415,发起重新核算，原最终积分54.0→新最终积分69.0,申诉更正
log_046fe7ac0ee5,setl_d0562de37920,2025-01,Db79aa5,差异标记,管理员,2026-06-13T21:03:13.517761,因记录rec_afd98ebbfeeb申诉通过更正，系统自动标记为有差异待处理,
log_06123cfd71b0,setl_145ad3164eb7,2024-12,D4c5a81,确认覆盖,核算主管,2026-06-13T21:03:12.976860,确认覆盖结算结果，最终积分：36.0，版本升至v2,确认重算结果
